user_id,system,rating,timestamp,category,selected_category
user_20231208030221_3641,Content-Matrix,2,2023-12-08 03:02:48,entertainment,sports
user_20231208030221_3641,Content-User,4,2023-12-08 03:02:48,entertainment,sports
user_20231208030221_3641,Item-User,5,2023-12-08 03:02:48,entertainment,sports
user_20231208030221_3641,Item-Matrix,2,2023-12-08 03:02:48,entertainment,sports
user_20231208030221_3641,Content-Matrix,3,2023-12-08 03:03:19,entertainment,sports
user_20231208030221_3641,Content-User,4,2023-12-08 03:03:19,entertainment,sports
user_20231208030221_3641,Item-User,2,2023-12-08 03:03:19,entertainment,sports
user_20231208030221_3641,Item-Matrix,5,2023-12-08 03:03:19,entertainment,sports
user_20231209000927_7326,Content-Matrix,2,2023-12-09 00:55:52,nation,business
user_20231209000927_7326,Content-User,4,2023-12-09 00:55:52,nation,business
user_20231209000927_7326,Item-User,2,2023-12-09 00:55:52,nation,business
user_20231209000927_7326,Item-Matrix,3,2023-12-09 00:55:52,nation,business
user_20231209010021_8709,Content-Matrix,4,2023-12-09 01:00:57,nation,nation
user_20231209010021_8709,Content-User,3,2023-12-09 01:00:57,nation,nation
user_20231209010021_8709,Item-User,4,2023-12-09 01:00:57,nation,nation
user_20231209010021_8709,Item-Matrix,3,2023-12-09 01:00:57,nation,nation
user_20231209010021_8709,Content-Matrix,3,2023-12-09 01:01:10,nation,nation
user_20231209010021_8709,Content-User,4,2023-12-09 01:01:10,nation,nation
user_20231209010021_8709,Item-User,3,2023-12-09 01:01:10,nation,nation
user_20231209010021_8709,Item-Matrix,4,2023-12-09 01:01:10,nation,nation
user_20231209010531_9345,Content-Matrix,4,2023-12-09 01:09:41,entertainment,editorial
user_20231209010531_9345,Content-User,5,2023-12-09 01:09:41,entertainment,editorial
user_20231209010531_9345,Item-User,4,2023-12-09 01:09:41,entertainment,editorial
user_20231209010531_9345,Item-Matrix,3,2023-12-09 01:09:41,entertainment,editorial
user_20231209010531_9345,Content-Matrix,4,2023-12-09 01:09:54,entertainment,editorial
user_20231209010531_9345,Content-User,3,2023-12-09 01:09:54,entertainment,editorial
user_20231209010531_9345,Item-User,4,2023-12-09 01:09:54,entertainment,editorial
user_20231209010531_9345,Item-Matrix,4,2023-12-09 01:09:54,entertainment,editorial
user_20231209011125_7778,Content-Matrix,5,2023-12-09 01:12:33,nation,sports
user_20231209011125_7778,Content-User,4,2023-12-09 01:12:33,nation,sports
user_20231209011125_7778,Item-User,3,2023-12-09 01:12:33,nation,sports
user_20231209011125_7778,Item-Matrix,4,2023-12-09 01:12:33,nation,sports
user_20231209011125_7778,Content-Matrix,3,2023-12-09 01:12:44,nation,sports
user_20231209011125_7778,Content-User,4,2023-12-09 01:12:44,nation,sports
user_20231209011125_7778,Item-User,4,2023-12-09 01:12:44,nation,sports
user_20231209011125_7778,Item-Matrix,3,2023-12-09 01:12:44,nation,sports
user_20231209013010_4847,Content-Matrix,2,2023-12-09 01:42:34,sports,entertainment
user_20231209013010_4847,Content-User,4,2023-12-09 01:42:34,sports,entertainment
user_20231209013010_4847,Item-User,3,2023-12-09 01:42:34,sports,entertainment
user_20231209013010_4847,Item-Matrix,4,2023-12-09 01:42:34,sports,entertainment
user_20231209013010_4847,Content-Matrix,4,2023-12-09 01:42:48,sports,entertainment
user_20231209013010_4847,Content-User,5,2023-12-09 01:42:48,sports,entertainment
user_20231209013010_4847,Item-User,4,2023-12-09 01:42:48,sports,entertainment
user_20231209013010_4847,Item-Matrix,3,2023-12-09 01:42:48,sports,entertainment
user_20231209014433_6496,Content-Matrix,3,2023-12-09 01:49:19,editorial,nation
user_20231209014433_6496,Content-User,2,2023-12-09 01:49:19,editorial,nation
user_20231209014433_6496,Item-User,4,2023-12-09 01:49:19,editorial,nation
user_20231209014433_6496,Item-Matrix,2,2023-12-09 01:49:19,editorial,nation
user_20231209014433_6496,Content-Matrix,4,2023-12-09 01:49:32,editorial,nation
user_20231209014433_6496,Content-User,2,2023-12-09 01:49:32,editorial,nation
user_20231209014433_6496,Item-User,3,2023-12-09 01:49:32,editorial,nation
user_20231209014433_6496,Item-Matrix,4,2023-12-09 01:49:32,editorial,nation
user_20231209015030_6535,Content-Matrix,2,2023-12-09 01:51:30,business,sports
user_20231209015030_6535,Content-User,2,2023-12-09 01:51:30,business,sports
user_20231209015030_6535,Item-User,2,2023-12-09 01:51:30,business,sports
user_20231209015030_6535,Item-Matrix,5,2023-12-09 01:51:30,business,sports
user_20231209015030_6535,Content-Matrix,5,2023-12-09 01:51:38,business,sports
user_20231209015030_6535,Content-User,3,2023-12-09 01:51:38,business,sports
user_20231209015030_6535,Item-User,5,2023-12-09 01:51:38,business,sports
user_20231209015030_6535,Item-Matrix,1,2023-12-09 01:51:38,business,sports
user_20231209015248_3679,Content-Matrix,1,2023-12-09 01:56:42,business,sports
user_20231209015248_3679,Content-User,5,2023-12-09 01:56:42,business,sports
user_20231209015248_3679,Item-User,2,2023-12-09 01:56:42,business,sports
user_20231209015248_3679,Item-Matrix,1,2023-12-09 01:56:42,business,sports
user_20231209015248_3679,Content-Matrix,3,2023-12-09 01:56:47,business,sports
user_20231209015248_3679,Content-User,5,2023-12-09 01:56:47,business,sports
user_20231209015248_3679,Item-User,3,2023-12-09 01:56:47,business,sports
user_20231209015248_3679,Item-Matrix,2,2023-12-09 01:56:47,business,sports
user_20231209015248_3679,Content-Matrix,3,2023-12-09 01:56:51,business,sports
user_20231209015248_3679,Content-User,5,2023-12-09 01:56:51,business,sports
user_20231209015248_3679,Item-User,3,2023-12-09 01:56:51,business,sports
user_20231209015248_3679,Item-Matrix,5,2023-12-09 01:56:51,business,sports
user_20231209015248_3679,Content-Matrix,2,2023-12-09 01:56:57,business,sports
user_20231209015248_3679,Content-User,5,2023-12-09 01:56:57,business,sports
user_20231209015248_3679,Item-User,2,2023-12-09 01:56:57,business,sports
user_20231209015248_3679,Item-Matrix,5,2023-12-09 01:56:57,business,sports
user_20231209020335_4334,Content-Matrix,3,2023-12-09 02:03:50,nation,editorial
user_20231209020335_4334,Content-User,5,2023-12-09 02:03:50,nation,editorial
user_20231209020335_4334,Item-User,2,2023-12-09 02:03:50,nation,editorial
user_20231209020335_4334,Item-Matrix,4,2023-12-09 02:03:50,nation,editorial
user_20231209020335_4334,Content-Matrix,1,2023-12-09 02:03:59,nation,editorial
user_20231209020335_4334,Content-User,5,2023-12-09 02:03:59,nation,editorial
user_20231209020335_4334,Item-User,2,2023-12-09 02:03:59,nation,editorial
user_20231209020335_4334,Item-Matrix,1,2023-12-09 02:03:59,nation,editorial
user_20231209020335_4334,Content-Matrix,4,2023-12-09 02:04:05,nation,editorial
user_20231209020335_4334,Content-User,5,2023-12-09 02:04:05,nation,editorial
user_20231209020335_4334,Item-User,2,2023-12-09 02:04:05,nation,editorial
user_20231209020335_4334,Item-Matrix,4,2023-12-09 02:04:05,nation,editorial
user_20231209020335_4334,Content-Matrix,4,2023-12-09 02:04:11,nation,editorial
user_20231209020335_4334,Content-User,1,2023-12-09 02:04:11,nation,editorial
user_20231209020335_4334,Item-User,5,2023-12-09 02:04:11,nation,editorial
user_20231209020335_4334,Item-Matrix,4,2023-12-09 02:04:11,nation,editorial
user_20231209020804_7569,Content-Matrix,2,2023-12-09 02:08:49,business,business
user_20231209020804_7569,Content-User,3,2023-12-09 02:08:49,business,business
user_20231209020804_7569,Item-User,2,2023-12-09 02:08:49,business,business
user_20231209020804_7569,Item-Matrix,5,2023-12-09 02:08:49,business,business
user_20231209020804_7569,Content-Matrix,4,2023-12-09 02:08:57,business,business
user_20231209020804_7569,Content-User,3,2023-12-09 02:08:57,business,business
user_20231209020804_7569,Item-User,4,2023-12-09 02:08:57,business,business
user_20231209020804_7569,Item-Matrix,2,2023-12-09 02:08:57,business,business
user_20231209020804_7569,Content-Matrix,4,2023-12-09 02:09:05,business,business
user_20231209020804_7569,Content-User,5,2023-12-09 02:09:05,business,business
user_20231209020804_7569,Item-User,3,2023-12-09 02:09:05,business,business
user_20231209020804_7569,Item-Matrix,5,2023-12-09 02:09:05,business,business
user_20231209020804_7569,Content-Matrix,2,2023-12-09 02:09:10,business,business
user_20231209020804_7569,Content-User,4,2023-12-09 02:09:10,business,business
user_20231209020804_7569,Item-User,4,2023-12-09 02:09:10,business,business
user_20231209020804_7569,Item-Matrix,5,2023-12-09 02:09:10,business,business
